BJD - 2454833, Corrected Flux
2061.305458931, 1.004216804,
2061.325891110, 1.002591222,
2061.346323189, 1.003172228,
2061.366755168, 1.002777562,
2061.387187346, 1.000696651,
2061.407619424, 0.999871273,
2061.428051601, 0.999229304,
2061.489347831, 1.006485099,
2061.509779807, 1.004947972,
2061.530211882, 1.003996981,
2061.550644057, 1.003413200,
2061.571076132, 1.003276588,
2061.591508106, 1.001649151,
2061.611940279, 1.000404260,
2061.632372352, 0.997339977,
2061.652804326, 0.996190256,
2061.673236498, 0.995144245,
2061.693668570, 0.993581192,
2061.714100641, 0.993152002,
2061.734532712, 0.992187960,
2061.754964783, 0.990227662,
2061.775396853, 0.989303836,
2061.795828923, 0.988433819,
2061.816260993, 0.988491716,
2061.836693062, 0.989389721,
2061.857125130, 0.990476119,
2061.877557099, 0.989501564,
2061.897989266, 0.990178136,
2061.918421334, 0.990316370,
2061.938853401, 0.990602114,
2061.959285467, 0.990059803,
2061.979717534, 0.992187467,
2062.000149699, 0.991963231,
2062.020581665, 0.994939706,
2062.041013730, 0.994191511,
2062.061445894, 0.995779463,
2062.081877859, 0.997418614,
2062.102309922, 0.997104352,
2062.122742085, 0.998141059,
2062.143174148, 0.999956720,
2062.163606111, 1.002854635,
2062.224902296, 0.995960976,
2062.245334456, 0.995203887,
2062.265766517, 0.998328262,
2062.286198477, 0.998222000,
2062.306630636, 0.998994686,
2062.327062696, 0.998957158,
2062.347494854, 0.999453713,
2062.367926813, 1.000812038,
2062.388358871, 1.001640216,
2062.408791028, 1.000667147,
2062.429222985, 1.003188996,
2062.449655042, 1.003628518,
2062.470087098, 1.006043595,
2062.490519154, 1.005416139,
2062.510951210, 1.004807795,
2062.531383265, 1.004741447,
2062.551815319, 1.006094357,
2062.572247374, 1.006049476,
2062.592679428, 1.007820648,
2062.613111481, 1.005029463,
2062.633543534, 1.004213733,
2062.653975687, 1.003454431,
2062.674407639, 1.002930372,
2062.694839791, 1.002802311,
2062.715271842, 1.003265063,
2062.735703793, 1.002859974,
2062.756135944, 1.003071005,
2062.776567994, 1.003654541,
2062.796999944, 1.003155569,
2062.817432093, 1.002991794,
2062.837864142, 1.003358710,
2062.858296091, 1.002676491,
2062.878728239, 1.002339475,
2062.899160287, 1.001120271,
2062.919592234, 1.000944130,
2062.940024381, 0.999878827,
2062.960456427, 0.998147566,
2062.980888474, 0.998150078,
2063.001320519, 0.999022894,
2063.021752565, 0.999553889,
2063.042184610, 0.999373051,
2063.062616654, 0.999629665,
2063.083048698, 1.000618130,
2063.103480842, 1.002791909,
2063.123912885, 1.001401939,
2063.144344828, 1.002731435,
2063.164776971, 1.003056218,
2063.185209013, 1.003122092,
2063.205640954, 1.003008937,
2063.226073096, 1.003311055,
2063.246505037, 1.003056200,
2063.266937077, 1.003810606,
2063.287369217, 1.003373505,
2063.307801157, 1.003483656,
2063.328233196, 1.003332850,
2063.348665335, 1.004519580,
2063.369097274, 1.005813772,
2063.389529311, 1.005688123,
2063.409961449, 1.004673354,
2063.430393386, 1.005189250,
